시도명,지정사유,지정연도,도로폭,도로차로수,보차분리여부
경기도,불분명,0.0,5.0,1.0,Y
경기도,불분명,0.0,5.0,1.0,Y
경기도,불분명,0.0,9.0,1.0,Y
경기도,불분명,0.0,4.0,1.0,Y
경기도,불분명,0.0,4.0,1.0,Y
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,7.5,1.0,Y
경기도,불분명,0.0,8.0,1.0,Y
경기도,불분명,0.0,6.0,1.0,Y
경기도,불분명,0.0,6.0,1.0,Y
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,4.0,1.0,N
경기도,불분명,0.0,4.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,2.0,N
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,2.0,Y
경상북도,원활,0.0,6.0,2.0,Y
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,2.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,6.0,1.0,N
경상북도,불분명,0.0,6.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,8.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,4.0,Y
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
제주특별자치도,불편,2017.0,4.0,1.0,N
제주특별자치도,불편,2018.0,6.0,1.0,N
제주특별자치도,불편,0.0,8.0,1.0,Y
제주특별자치도,불편,0.0,6.0,1.0,N
제주특별자치도,불편,0.0,6.0,1.0,N
제주특별자치도,불편,0.0,4.0,1.0,N
제주특별자치도,불편,0.0,4.0,1.0,Y
인천광역시,원활,2005.0,6.0,1.0,N
인천광역시,원활,2018.0,7.0,1.0,Y
인천광역시,원활,2019.0,3.5,1.0,N
인천광역시,원활,2019.0,6.0,1.0,Y
인천광역시,원활,2022.0,5.5,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,2.0,Y
경상북도,원활,0.0,6.0,2.0,Y
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,N
경상북도,불분명,0.0,6.0,1.0,N
경기도,안전,2016.0,8.0,1.0,N
경기도,안전,2016.0,8.0,1.0,N
경기도,안전,2012.0,8.0,1.0,N
경기도,안전,2012.0,8.0,1.0,N
경기도,안전,2012.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,Y
강원도,불분명,0.0,8.0,1.0,Y
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상남도,불분명,2022.0,5.0,1.0,N
강원도,안전,0.0,3.0,1.0,Y
강원도,안전,0.0,3.0,1.0,N
강원도,안전,0.0,3.0,1.0,Y
강원도,안전,0.0,3.0,1.0,N
강원도,안전,0.0,3.0,1.0,N
강원도,안전,0.0,3.0,1.0,N
경기도,원활,0.0,6.0,1.0,N
경기도,원활,0.0,6.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,6.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
